 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
51560,33.63,36.10557123655914,29.0,25.87549601901653,0.0,1.987862694386634
95200,33.63,36.85290322580645,30.0,25.84463120265769,0.0,2.0762431798022165
138989,33.69,36.33801747311828,29.0,26.0407772839725,0.0,2.036989240808186
182633,33.75,36.804711021505376,30.0,25.935462978382525,0.0,2.073937822291594
226279,33.75,36.735880376344085,30.0,26.01861291412241,0.0,2.1694555764665706
269933,33.75,37.05602822580645,30.0,26.06687041341444,0.0,2.0628628943736267
313582,33.81,36.0883064516129,29.0,25.39607587231813,0.0,2.0054299449358304
357229,33.69,37.0849126344086,30.0,26.046485549266983,0.0,2.02670694299919
400874,33.5,36.801243279569896,30.0,26.094301015686675,0.0,2.02974460179645
444524,32.94,36.03251344086021,29.0,25.114377428653324,0.0,1.9790523911272253
488194,31.81,37.4340120967742,30.0,26.42473029953342,0.0,2.043158555902417
531850,30.25,37.04471102150538,30.0,26.529280022367765,0.0,2.17297042721702
575504,28.44,36.9021438172043,29.0,26.469512046592264,0.0,2.1230443219140214
619157,26.56,36.996135752688176,30.0,26.59236297642132,0.0,2.1666263352338424
662810,24.75,37.44872311827957,30.0,26.37894886575366,0.0,2.091236455081513
706475,22.94,37.45070564516129,30.0,26.780209354621068,0.0,2.168104653717193
750131,21.31,37.462345430107526,30.0,26.596779685898973,0.0,2.1658131481511598
793792,19.75,38.06592741935484,30.0,27.16358811289066,0.0,2.154892426870158
837491,18.37,37.33885752688172,30.0,26.962102301614244,0.0,2.1034675330963117
881141,17.06,37.77364247311828,30.0,26.82357180178486,0.0,2.1139044524204387
924795,15.88,37.68727822580645,30.0,27.01138463656424,0.0,2.130913804883513
968450,14.81,37.6609811827957,30.0,27.019833398574885,0.0,2.0729301068042547
1012102,13.88,37.63022849462366,30.0,27.400643637002105,0.0,2.096021271245231
1055796,13.0,38.53132392473118,30.0,27.767956023354785,0.0,2.1457323241397126
1099452,12.13,38.06388440860215,29.0,28.0341133296594,0.0,2.178111546087337
1143106,11.38,39.08148521505376,30.0,28.423657299853456,0.0,2.117856158903847
1186780,10.69,39.41661962365591,30.0,29.024565223660424,0.0,2.116700252512935
1230433,10.19,40.73465053763441,31.0,29.33047597373111,0.0,2.124442198836209
