x;T
0,077;72,5
0,092;72,07
0,092;73,12
0,11;71,65
0,11;72,7
0,237;72,07
0,237;71,03
0,2;71,65
0,2;72,7
0,237;72,92
0,283;72,92
0,29;72,07
0,29;72,28
0,29;72,07
0,29;72,7
0,399;72,92
0,498;72,92
0,594;72,92
0,7;73,75
0,748;77,9
0,748;76,32
0,748;76,23
0,748;73,98
0,775;73,75
0,752;76,23
0,752;76,65
0,772;75,82
0,772;76,82
0,896;74,57
0,896;76,57
0,907;75,82
0,907;75,65
