 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
51006,32.56,44.33334677419355,29.0,33.6779850292006,0.0,2.032029504675396
94561,32.88,45.00130376344086,29.0,34.185400556427986,0.0,2.142809138159036
138165,32.94,45.16637096774193,30.0,33.836470005328906,0.0,2.140907131198332
181718,33.06,44.28369623655914,28.0,33.82999361599504,0.0,2.0791665710992606
225286,33.13,44.70838037634409,29.0,33.55653998859018,0.0,2.086350714994146
268845,33.19,44.38742607526882,29.0,33.61643466017787,0.0,2.140234888742557
312398,33.25,44.85485887096774,30.0,33.16356280260523,0.0,2.109005371827668
355953,33.25,44.23885752688172,29.0,33.34062922766913,0.0,2.03284941611747
399676,33.31,44.83283602150538,29.0,33.9401247735649,0.0,2.082405892119031
443228,33.31,44.98923387096775,29.0,33.5381439831187,0.0,2.116236528608798
486789,33.25,44.54108198924731,29.0,33.15592529492478,0.0,2.0984072450120683
530351,32.94,45.38962365591398,30.0,33.734553133651886,0.0,2.027076602741285
573905,32.19,44.52209677419355,28.0,34.01728167553641,0.0,2.1343346697866084
617464,31.0,46.320504032258064,30.0,34.920860589565144,0.0,2.069159945830082
661018,29.81,46.53292338709677,30.0,35.86812977079908,0.0,2.056249973985432
704586,28.75,46.32463037634409,30.0,36.31143160751958,0.0,2.2055443526256653
748146,27.69,46.75668682795699,30.0,36.36557011555494,0.0,2.114603486990909
791711,26.44,45.90870967741935,28.0,36.73188602594808,0.0,2.115114223419976
835272,25.06,46.43739919354839,29.0,37.24644629017054,0.0,2.080792996119493
878831,23.56,46.7066129032258,28.0,37.2545852966363,0.0,2.07786283800873
922404,22.19,46.599502688172045,29.0,37.193480499788734,0.0,2.084119355877485
965961,21.0,47.31260752688172,30.0,37.58833008783713,0.0,2.205712313381605
1009522,20.0,47.5395497311828,30.0,37.64177315638037,0.0,2.159294299512588
1053086,19.31,47.30846102150537,29.0,37.94158524332776,0.0,2.0871572298369028
1096691,18.81,46.98019489247312,29.0,37.32302492760954,0.0,2.140698921840676
1140247,18.5,46.99257392473118,29.0,37.27836878849215,0.0,2.049576584675613
1183805,18.31,46.74189516129032,28.0,37.83110468060112,0.0,2.07070556165272
1227360,18.31,47.55040994623656,29.0,38.48403853909021,0.0,2.0492674297155022
1270918,18.44,47.48962365591398,29.0,38.54839351168195,0.0,2.0105309038165533
1314478,18.62,47.19306451612904,29.0,37.6932883884316,0.0,2.0576948870082523
1358081,18.94,46.43077956989247,28.0,37.89014353825094,0.0,2.119092741890319
1401661,19.19,47.233138440860216,28.0,38.90973366161648,0.0,2.066505340935368
1445227,19.62,46.70676075268817,28.0,38.08778650924655,0.0,2.147049707290944
1488794,19.94,48.03614247311828,29.0,39.42674366169045,0.0,2.149220169239219
1532355,20.31,47.55077956989247,28.0,39.21513590185393,0.0,2.1579031605893744
1575917,20.56,48.5967876344086,30.0,39.70478916568453,0.0,2.135080523037345
1619495,20.94,47.76992607526882,28.0,39.62816084363964,0.0,2.0946034187026683
