 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
134767,33.81,36.588158602150536,28.0,27.789220266266977,0.0,2.0606919766284397
178325,33.81,36.70321908602151,27.0,27.855495594205024,0.0,2.1061424324705165
221894,33.88,36.68280241935484,27.0,27.79405632768355,0.0,2.06958328112354
265449,33.88,36.743783602150536,28.0,27.867739995531544,0.0,2.084616930019005
308999,33.88,36.77356182795699,28.0,27.825615566743892,0.0154233870967741,2.170544058516519
439679,33.81,36.170665322580646,27.0,27.620185922449533,0.0,2.103682413429298
526803,33.75,36.56235215053764,28.0,27.91075585355671,0.0,2.0747512526285554
570360,33.75,35.82639784946237,26.0,28.033507397835745,0.0,2.15653216249711
613921,33.75,36.62647177419355,27.0,27.94290308552999,0.0,2.1725939985836518
657487,33.75,36.623548387096776,27.0,27.7985955259506,0.0,2.0874730142212976
744669,33.75,36.22183467741935,27.0,27.857897914305223,0.0,2.0798519986053297
788226,33.69,36.19473790322581,27.0,27.918112795128543,0.0,2.185450177359738
831784,33.5,36.333850806451615,27.0,27.71198019013413,0.0,2.111411268463117
875343,32.88,36.84394489247312,28.0,27.659541758641595,0.0,2.098917942057969
918916,31.56,36.65608198924731,28.0,27.777016418269344,0.0,2.0404973116473
962473,29.87,36.73204301075269,28.0,27.71360322820949,0.0,2.078057616442291
1006076,27.94,38.60748655913979,29.0,27.611469447074,0.0,2.139388304238568
1049639,26.06,41.77139784946237,30.0,29.861504450479664,0.0,2.1470966867556958
1093201,24.19,42.3607123655914,30.0,30.87797274928259,0.0,2.2599191459995374
1136768,22.31,42.87806451612903,30.0,31.549598007358902,0.0,2.2051074139712683
1180328,20.56,42.90520161290323,30.0,32.02717121541494,0.0,2.1569353883035607
1223889,19.0,43.634495967741934,30.0,32.1875099261074,0.0,2.172015839981501
1267450,17.56,43.41936155913979,30.0,32.704347481887616,0.0,2.1840187765565378
1311012,16.25,43.527096774193545,30.0,33.13391052256761,0.0,2.191263439234304
1354572,15.0,43.41399865591398,29.0,33.39949993194956,0.0,2.2087834655288905
1398156,13.94,44.1315120967742,30.0,33.761554716574146,0.0,2.1716397495375186
1441720,12.94,44.104543010752685,29.0,34.05928671624111,0.0,2.224603493494551
1485284,12.06,44.66195564516129,29.0,34.62579441180477,0.0,2.3158400461306936
1528845,11.06,44.39313844086021,29.0,34.96495641898288,0.0,2.16088036871134
1572410,10.31,43.59772849462366,28.0,34.81230131429482,0.0,2.132520043818288
1615990,9.75,44.66474462365591,29.0,34.86523974594625,0.0,2.078830627095618
1659560,9.31,44.508595430107526,29.0,34.896241460278574,0.0,2.3447714699676263
1703177,8.94,44.38114247311828,29.0,35.08141010925723,0.0,2.1288978189313785
1746742,8.69,44.680470430107526,29.0,35.03380871393377,0.0,2.159038682172433
1790304,8.38,44.91832661290323,28.0,35.29970076095092,0.0,2.207042945535612
1833866,8.19,44.86509408602151,28.0,35.48857020098869,0.0,2.2003696232494367
1877430,7.94,45.10861559139785,28.0,35.7127014763561,0.0,2.2272849281708864
1921139,7.69,44.761008064516126,28.0,35.16949253878166,0.0,2.1500268809978027
1964708,7.69,45.361370967741934,29.0,35.248644101917925,0.0,2.1499462011504225
2008271,7.56,45.055745967741935,28.0,36.00887571544419,0.0,2.1864110294542725
2051837,7.44,45.53352822580645,29.0,36.17058605017221,0.0,2.1476814414509624
2095421,7.31,43.53956989247312,28.0,34.34858868190458,0.0,2.058481147386981
2138985,7.25,43.59406586021505,28.0,34.651343416073686,0.0,2.072647560411608
2182546,7.25,43.89627688172043,28.0,35.4454134256124,0.0,2.0804232078401403
2226109,7.19,45.83692876344086,29.0,36.1764756849926,0.0,2.178749997109493
2269672,7.19,45.10252016129032,29.0,35.63004058425816,0.0,2.149536270405177
2313251,7.25,45.147325268817205,28.0,35.735224250792314,0.0,2.1390925511168204
2356822,7.44,45.34237231182796,28.0,35.75181577110841,0.0,2.1449461713420632
2400389,7.69,45.12510080645161,28.0,36.18170097633489,0.0,2.1833465653543764
2443956,8.06,45.82532930107527,28.0,36.28397102466845,0.0,2.230954286442074
2487521,8.5,44.99737903225807,28.0,36.04489294819249,0.0,2.102990491630173
2531090,9.0,45.46176747311828,28.0,35.97774406273663,0.0,2.146014765028833
2574661,9.56,45.64090053763441,28.0,36.11920860666562,0.0,2.171081989202148
2618273,10.19,45.04351478494624,28.0,35.6572736515173,0.0,2.1695967481789804
2661841,10.69,45.73765456989247,28.0,36.848443035986975,0.0,2.2822445107454614
2705406,11.19,45.82789650537634,28.0,36.93943964956288,0.0,2.255981156781131
2748976,11.75,46.10559811827957,29.0,36.71898732929639,0.0,2.1401611681986354
2792554,12.25,46.49364919354839,29.0,36.7628106556295,0.0,2.1988843867426877
2836121,12.75,44.65790994623656,29.0,34.87348096568413,0.0,2.0754502633523386
2879730,13.31,45.77663978494624,29.0,36.19018316513692,0.0,2.162835995490808
2923306,13.75,45.71969086021505,29.0,36.600751753709794,0.0,2.1619018198906668
2966874,14.25,46.29171370967742,29.0,36.813205520468216,0.0,2.1879972899684934
3010463,14.69,46.00364247311828,29.0,36.43972284075284,0.0,2.236619568329792
3054038,15.13,44.6532997311828,28.0,34.8723672340185,0.0,2.1310080498829342
3097604,15.56,44.852076612903225,28.0,35.33633207676331,0.0,2.109946184349346
3141174,16.06,45.50890456989247,29.0,35.53437929060883,0.0,2.1340524030505703
3184745,16.44,44.8390188172043,29.0,34.71570577608792,0.0,2.136921963341138
