 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
46986,31.69,25.93467741935484,26.0,29.153110373807248,0.0,1.999489050576657
90631,32.13,27.189032258064515,27.0,30.147063539916,0.0,2.212177172035785
134277,32.31,26.86172043010753,27.0,31.01011571999874,0.0,2.0758332748005546
177923,32.5,27.086756272401438,27.0,32.344228431355674,0.0,2.164395154786681
221573,32.63,27.06252688172043,27.0,33.88308219358214,0.0,2.20877688009452
265224,32.69,28.34365591397849,27.0,34.330591038893814,0.0,2.1932862349964592
308877,32.75,28.89555555555556,27.0,34.70240214605462,0.0,2.265369369607396
352575,32.88,30.753673835125447,28.0,34.83545896911668,0.0,2.223924651513181
396220,33.0,31.50908602150537,27.0,35.678703357139064,0.0,2.219663804883512
439865,33.06,34.08992831541219,28.0,36.449441258224,0.0,2.2615591137703777
483528,33.13,34.223405017921145,28.0,36.95965123537872,0.0,2.378192128380087
527176,33.25,34.193996415770606,27.0,36.57099418140477,0.0,2.2880241350156085
570907,33.25,35.17188172043011,28.0,36.06224606370493,0.0,2.2677755354213645
614561,33.38,34.24586021505376,26.0,36.33086834362477,0.0,2.1673722919105534
658210,33.38,35.53354838709677,27.0,36.31032823116902,0.0,2.259892169434328
701881,33.44,36.05783154121864,27.0,36.50093109227237,0.0,2.3206115460873367
745538,33.5,35.54593189964158,27.0,36.49253652619382,0.0,2.2262499998193426
789189,33.38,35.81204301075269,27.0,36.165059760555295,0.0,2.25591389105677
832840,33.0,36.17677419354839,27.0,36.51782026670607,0.0,2.333911210652966
876498,32.06,37.48913978494624,28.0,36.4954428960031,0.0,2.295376342460111
920154,30.62,36.32132616487455,27.0,36.217722642262046,0.0,2.295436808039585
963813,28.81,35.49347670250896,27.0,36.157212228734856,0.0,2.296209456114869
1007470,26.75,36.72270609318996,28.0,36.30084511237644,0.0,2.235282239998844
1051125,24.94,37.08310035842294,27.0,36.43892758620771,0.0,2.3011893011023674
1094780,23.12,36.52983870967742,27.0,36.48908113923508,0.0,2.2359945513932247
1138436,21.37,37.23118279569893,28.0,36.230362463368735,0.0,2.297929944935831
1182107,19.69,37.28372759856631,28.0,36.53410931551901,0.0,2.28223780345813
1225815,18.19,37.53365591397849,27.0,36.47387405276506,0.0,2.302970418545496
1269467,16.87,35.84145161290323,27.0,36.29332104696506,0.0,2.277378900559313
1313122,15.69,37.16568100358423,28.0,35.71776305993349,0.0,2.316208740894901
1356773,14.56,37.60672043010753,27.0,36.17537971345414,0.0,2.212923013092193
1400440,13.5,39.20336917562724,28.0,36.42373790852428,0.0,2.276599173314834
1444097,12.63,42.266720430107526,29.0,38.03539252587976,0.0,2.3043882941217912
1487852,11.75,43.22627240143369,29.0,38.055613587714674,0.0,2.2333668975007948
1531506,10.94,45.09227598566308,30.0,38.804137052440986,0.0,2.311559136894439
1575167,10.25,45.38207885304659,29.0,39.067188284080224,0.0,2.311706967387848
1618831,9.69,45.33575268817204,30.0,38.31385415493574,0.0,2.3769086019698804
1662484,9.31,45.53046594982079,29.0,38.63137609741313,0.0,2.3211553871834893
1706141,9.0,46.74209677419355,31.0,38.82909354823206,0.0,2.3165120053167274
1749803,8.69,46.77297491039427,31.0,38.7565499543353,0.0,2.3280510637067864
1793458,8.38,46.90643369175627,31.0,38.705132885592,0.0,2.399959646888368
1837120,8.19,47.00697132616487,32.0,38.61123090560956,0.0,2.279791663008369
1880794,8.06,47.22677419354839,31.0,38.415895170376416,0.0,2.2880846672574133
1924452,7.94,47.17853046594982,31.0,38.85806306140963,0.0,2.411021342785293
1968114,7.81,47.22559139784946,31.0,38.79380281751924,0.0,2.292089862944777
2011777,7.69,47.474767025089605,31.0,38.65904301401254,0.0,2.330779555259278
2055439,7.62,47.39249103942653,31.0,38.46752195774887,0.0,2.31667322988026
2099167,7.5,47.49182795698925,31.0,38.37838693287652,0.0,2.3311558879639267
2142827,7.5,46.46983870967742,29.0,38.57585285045268,0.0,2.318494207422824
2186486,7.44,47.38951612903226,31.0,38.488777736294594,0.0,2.2860550522007603
2230143,7.37,47.55044802867384,32.0,38.53270072629628,0.0,2.3526276751195945
2273801,7.37,46.46980286738352,30.0,38.10733739281492,0.0,2.317708295350257
2317455,7.31,48.05964157706093,31.0,39.393582279164896,0.0,2.3249663425233407
2361162,7.25,47.36724014336917,31.0,38.60892097680523,0.0,2.274468744173821
2404828,7.25,48.30913978494624,32.0,38.86352119613955,0.0,2.3267271504924705
2448495,7.25,48.036917562724014,31.0,38.98402513247024,0.0,2.347896194240302
2492156,7.25,48.63331541218638,32.0,39.20526061352695,0.0,2.3159339605283127
2535815,7.37,47.73750896057348,31.0,38.64049306253846,0.0,2.358817189667881
2579491,7.56,48.13215053763441,32.0,38.61909501766366,0.0,2.29985207086802
2623152,7.81,47.645860215053766,30.0,39.19284842184595,0.0,2.2940119970065176
2666814,8.31,48.17241935483871,30.0,38.595618168242176,0.0,2.361364110690181
2710482,8.81,48.04353046594982,31.0,39.10195993928481,0.0,2.3710282058890475
2754149,9.38,46.8163082437276,30.0,38.042224135874605,0.0,2.323931435308634
2797828,9.94,47.2494623655914,31.0,37.76288588292069,0.0,2.330671947443346
2841495,10.56,46.7952688172043,30.0,37.89958318000402,0.0,2.42506047081852
2885162,11.06,47.36043010752688,30.0,38.23027802551596,0.0,2.3695023541377616
2928830,11.56,47.1383870967742,30.0,37.63628658769556,0.0,2.354986427441033
2972549,12.13,46.653440860215056,30.0,36.339450768796816,0.0,2.3181047924615554
3016209,12.69,46.30290322580645,30.0,36.502183291297264,0.0,2.272856025579185
3059871,13.19,46.173870967741934,29.0,36.59718460545545,0.0,2.3106989240085563
3103532,13.75,47.08494623655914,29.0,37.57600150509219,0.0,2.359878973725286
3147196,14.19,47.72826164874552,32.0,37.91741983928551,0.0,2.3509341158930948
3190862,14.69,47.92381720430107,32.0,38.29256587942156,0.0,2.346350638395696
3234699,15.13,45.80967741935484,30.0,36.49527517293717,0.0,2.296814513238525
3278370,15.56,46.43164874551972,30.0,38.16670149166529,0.0,2.355161290141924
3322041,16.0,46.80107526881721,31.0,37.295841383553686,0.0,2.2838439443866347
3365711,16.44,46.40010752688172,30.0,37.41973251622518,0.0,2.2593209546894872
3409369,16.94,47.59602150537634,32.0,38.533818497472055,0.0,2.411256529611444
3453032,17.25,46.62616487455197,31.0,38.63746982756321,0.0,2.439301066416637
3496715,17.69,46.20120071684588,31.0,37.67026418169144,0.0,2.3589919347612445
3540381,18.0,45.9363082437276,30.0,37.61292330278825,0.0,2.347338674268702
3584051,18.37,45.49378136200717,30.0,37.37643675432472,0.0,2.356854820644005
3627720,18.81,45.67166666666667,30.0,37.51945065404572,0.0,2.372613768165033
3671388,19.12,44.43044802867384,29.0,37.01930436613734,0.0,2.314637066243207
3715057,19.44,45.18263440860215,30.0,36.7896651774077,0.0,2.3070967696771305
3758725,19.75,43.43964157706093,29.0,35.44852080141703,0.0,2.23022175788928
3802396,20.12,43.63336917562724,29.0,36.28945480956162,0.0,2.388783546824416
3846116,20.44,44.51879928315413,30.0,36.11356854465714,0.0,2.2811355846322554
3889781,20.69,44.23062724014337,29.0,37.07031840509619,0.0,2.4746774191741823
3933450,21.06,45.11808243727599,30.0,36.72415873718252,0.0,2.260940764647648
3977135,21.31,44.47799283154122,30.0,36.7780919709897,0.0,2.3640118560942742
4020802,21.62,44.90532258064516,31.0,36.89082581426928,0.0,2.28167996589201
4064497,21.87,44.706594982078855,30.0,36.88394371026241,0.0,2.332499858365128
4108227,22.13,44.17186379928315,30.0,36.34225388935799,0.0,2.311639783320325
4151907,22.37,42.94897849462365,29.0,35.81257405114585,0.0,2.360342666014496
4195607,22.69,43.56345878136201,29.0,35.92073240012661,0.0,2.336081920552593
4239292,22.94,42.60664874551971,29.0,35.96652370880059,0.0,2.2835615242730367
4282967,23.19,43.0376164874552,29.0,35.98504972076175,0.0,2.258904443026289
4326647,23.5,43.959605734767024,30.0,36.15999095529212,0.0,2.346989216780841
4370328,23.69,42.67840501792115,28.0,36.54715998394092,0.0,2.2842404829586505
4414011,23.94,43.31139784946237,30.0,36.32038894864937,0.0,2.278259217783487
4457694,24.19,43.58014336917563,30.0,36.39616391041508,0.0,2.176666445362181
4501381,24.37,43.02399641577061,30.0,35.44282056773121,0.0,2.243326433646593
4545064,24.63,42.77333333333333,29.0,36.12407593031418,0.0,2.2756651317619814
4588747,24.81,43.36555555555555,30.0,36.60189701877464,0.0,2.225725487773153
4632429,25.06,42.89410394265233,29.0,36.666414130044224,0.0,2.349945989240085
4676132,25.25,41.908028673835126,28.0,36.618369624861806,0.0,2.3441799449358305
4719821,25.44,42.29363799283154,28.0,36.44380886118773,0.0,2.257573550726601
4763548,25.69,41.83908602150537,28.0,37.300180160618005,0.0,2.319240585932984
4807229,25.81,42.72942652329749,29.0,37.04213380030277,0.0,2.281169324307723
4850915,26.0,41.75903225806452,28.0,35.36751423700605,0.0,2.2033131683847125
4894607,26.19,44.05247311827957,30.0,37.33327138683612,0.0,2.332802282733192
4938291,26.37,44.34958781362007,31.0,37.47388617291276,0.0,2.2979298466585734
4982022,26.56,43.03933691756272,28.0,38.39783970460883,0.0,2.4305437781372845
5025714,26.75,43.43917562724015,29.0,38.04379696519816,0.0,2.391659913311871
5069406,26.94,41.575645161290325,28.0,36.08744512470826,0.0,2.2831314456512315
5113093,27.13,43.141129032258064,29.0,38.082056493745085,0.0,2.341303621805989
5156778,27.31,43.643028673835126,30.0,38.333928559278,0.0,2.4595967653413693
5200463,27.44,42.73519713261648,29.0,38.01788052782695,0.0,2.3084879020967013
5244151,27.62,42.38030465949821,29.0,38.12030247479663,0.0,2.410618257710429
5287835,27.81,42.113136200716845,28.0,37.831649861122784,0.0,2.3578156325424184
5331531,27.94,41.363405017921146,28.0,37.91930968533684,0.0,2.327990515476861
5375238,28.12,42.40641577060932,29.0,37.57326871621833,0.0,2.325564504567002
5418929,28.25,42.17569892473118,29.0,37.63636983968054,0.0,2.3420026766100124
5462617,28.44,41.40046594982079,28.0,37.737856852438185,0.0,2.378205518295106
5506309,28.56,41.45356630824373,29.0,37.45627332313986,0.0,2.320100768468537
5550004,28.75,40.66827956989248,28.0,37.553204977952056,0.0,2.312318439947899
5593763,28.87,42.05016129032258,29.0,37.80296206000879,0.0,2.32383063359926
5637448,29.06,40.375573476702506,28.0,37.48914273679485,0.0,2.310927347092149
5681140,29.19,41.22410394265233,28.0,37.66673529668905,0.0,2.401686691335342
5724827,29.31,40.59356630824373,28.0,37.72390672843899,0.0,2.365430076995896
5768516,29.44,40.76401433691756,28.0,37.96185001954543,0.0,2.300167883886504
5812202,29.63,41.67962365591398,29.0,37.462248558934505,0.0,2.360214988546364
5855988,29.75,41.327114695340505,29.0,38.02021817875296,0.0,2.351330532250839
5899678,29.87,41.7644982078853,30.0,38.11198448641159,0.0,2.3575667344129383
5943371,30.0,41.2510394265233,29.0,38.027691849207855,0.0,2.36249232999299
5987063,30.06,40.28616487455197,28.0,37.77721934701744,0.0,2.3523319610196998
6030749,30.12,40.24263440860215,28.0,37.56249756206599,0.0,2.3600268701583995
6074450,30.25,40.07915770609319,28.0,37.88852804050274,0.0,2.318326331033573
6118150,30.25,40.56188172043011,28.0,37.79623755141437,0.0,2.3662835529667445
6161843,30.37,39.34639784946236,28.0,37.92838925126684,0.0,2.410940855698635
6205539,30.44,40.66698924731183,30.0,37.101361784765686,0.0,2.311518815578391
6249239,30.5,39.99240143369176,28.0,37.22013398051654,0.0,2.3748452273655194
6292943,30.56,40.40275985663082,29.0,36.60897223809489,0.0,2.337291487410033
6336636,30.62,40.11078853046595,29.0,37.131337448136215,0.0,2.4095424442132045
6380331,30.69,39.68718637992831,28.0,37.503253569328855,0.0,2.350322476586889
6424030,30.81,39.39881720430108,28.0,37.66712591606456,0.0,2.308702630678041
6467770,30.88,40.03998207885304,29.0,37.501855252983226,0.0,2.3572510763075933
6511461,30.94,39.513996415770606,28.0,37.34946917649505,0.0,2.303111318459865
6555155,31.0,38.17331541218638,28.0,36.70018238261004,0.0,2.3761558677303736
6598848,31.06,38.81331541218638,28.0,37.69644157154907,0.0,2.3302419325933643
6642537,31.12,39.245501792114695,28.0,37.41871575544239,0.0,2.3858123489258136
6686228,31.19,39.94978494623656,29.0,37.3730337561484,0.0,2.312183912112311
6729967,31.31,38.013118279569895,28.0,36.798918574608464,0.0,2.3762295423874877
6773679,31.37,37.48575268817204,28.0,36.885885928482,0.0,2.369394964555152
6817376,31.44,39.52139784946237,29.0,37.14600532318666,0.0,2.366720389459764
6861077,31.56,38.02215053763441,28.0,37.0008596030854,0.0,2.33257336826331
6904773,31.62,38.895860215053766,29.0,36.97349415115827,0.0,2.3430443266110963
6948465,31.69,38.47435483870968,28.0,37.39799579654407,0.0,2.3823312835569865
6992176,31.75,38.6105376344086,28.0,36.994296840860144,0.0,2.473494334605156
7035871,31.75,38.706594982078855,28.0,36.94579690137031,0.0,2.324804131574098
7079574,31.87,38.23405017921147,28.0,37.29260986880647,0.0,2.419307527920497
7123270,32.0,37.3191935483871,27.0,37.255441364226336,0.0,2.3522846122022782
7166964,32.06,38.84107526881721,29.0,37.29983912260089,0.0,2.392284712105446
7210662,32.13,37.58302867383512,28.0,37.34247545975293,0.0,2.2760279294842607
7254362,32.19,37.680770609319,28.0,37.04047134689704,0.0,2.4028894958954794
7298063,32.31,37.60206093189964,28.0,37.33774681102734,0.0,2.37174035071793
7341812,32.31,37.70028673835125,28.0,37.23751265928335,0.0,2.3805100356616373
7385506,32.38,37.80232974910394,28.0,37.09529139610962,0.0,2.353769753683591
7429201,32.44,36.82148745519713,28.0,36.72322020981614,0.0,2.360664931955645
