 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
228140,29.19,35.231491935483874,29.0,23.79337126853855,0.0,1.8969489066655103
315254,29.44,34.76005376344086,28.0,24.091191972218205,0.0,1.9320362216278613
358814,29.56,34.81752688172043,28.0,24.06505764090396,0.0,1.9344220211512888
402376,29.69,35.03030913978495,28.0,23.90352857069933,0.0,1.927331951264236
533114,30.0,34.78319892473118,28.0,23.893946628085644,0.0,1.863400534743901
707349,27.25,33.9827688172043,27.0,24.064405883081644,0.0,1.9428762311755696
794621,23.81,35.32405913978494,28.0,24.286229154278704,0.0,1.9899462249971087
838178,22.06,34.78379032258064,28.0,24.184359129273403,0.0,1.959133064109651
925301,18.81,35.013333333333335,28.0,24.68799057586168,0.0,1.9162432177401287
968857,17.37,34.57807123655914,28.0,25.07934760689357,0.0,2.0379435337539022
1012417,16.0,35.60903225806452,28.0,25.062428111157075,0.0,1.9230174694599813
1055981,14.81,35.29144489247312,28.0,25.3939757573942,0.0,1.9090522827331915
1099539,13.62,35.25807123655914,28.0,25.29621194473572,0.0,1.974038902573636
1143104,12.63,35.151041666666664,28.0,25.388142067734886,0.0,1.915893816075196
1186686,11.69,35.01549731182796,28.0,25.928450748558483,0.0,1.9742068671233677
1317374,9.5,35.04963709677419,28.0,25.521742441179292,0.0,1.9076679615688952
1404521,8.75,34.5511559139785,27.0,25.611490485725778,0.0,1.904731164730027
1448142,8.44,34.9467876344086,28.0,25.184271774030595,0.0,1.89133063359926
1491699,8.19,35.61766801075269,29.0,25.42172306712531,0.0,1.9102284857714764
1622378,7.56,37.01177419354839,30.0,26.177846736419387,0.0,1.8829299946164295
1665941,7.44,36.89110887096774,29.0,26.14582125952293,0.0,1.9208265965989564
1709550,7.37,36.48606182795699,29.0,26.254174667046577,0.0,1.866968488725214
1753118,7.25,36.82040322580645,29.0,26.47417366685475,0.0,1.9371975769868623
1796684,7.19,36.77868279569893,29.0,26.440577978863672,0.0,1.900544186782793
1840254,7.06,35.906129032258065,28.0,26.472689671744146,0.0,1.8852485724054089
2014522,7.0,36.19664650537634,29.0,25.73349676374273,0.0,1.8691935077393336
2188813,6.87,35.46707661290323,28.0,25.573300023952683,0.0,1.8077284686090875
2232381,6.87,36.37879032258064,29.0,25.822132222478743,0.0,1.868393811739435
