 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
135253,34.0,34.70845430107527,28.0,23.2912384544027,0.0,1.939065645188389
265926,34.0,34.99573252688172,28.0,23.49817172740485,0.0,2.0014515173358194
309481,34.0,35.0451747311828,28.0,23.441907769821636,0.0,1.9507459395143227
396596,33.38,34.5524059139785,28.0,23.51982539084589,0.0,1.9798118272343623
440154,32.13,35.499630376344086,28.0,23.816003641108026,0.0,2.0062365584171578
570836,26.5,34.67304435483871,28.0,23.709924632553477,0.0,1.9276343997499716
701564,20.81,34.67211021505376,28.0,23.843499635080157,0.0,2.031055103868583
832234,16.25,35.14653225806452,28.0,23.665512003860663,0.0,1.9590456944083137
875836,15.06,35.166176075268815,29.0,23.521294396395376,0.0,1.962681334140869
3054371,13.44,34.11208333333333,27.0,23.572346125121232,0.0,1.906014761054385
3228666,15.38,33.93915994623656,27.0,23.59007334843689,0.0,1.931559135268528
3402952,17.19,33.66323252688172,27.0,23.782894204765554,0.0,1.984758033985143
3446526,17.62,34.05946908602151,27.0,23.596006524657486,0.0,1.932923354172087
3490116,18.0,34.30147849462366,27.0,23.428241457993675,0.0,1.8771841068602584
3533732,18.44,33.846693548387094,27.0,23.522410209800576,0.0,1.9022646851785605
3577301,18.75,34.04760752688172,27.0,23.223529379849165,0.0,1.9541934166883452
3664442,19.5,34.21407258064516,28.0,23.53303685179306,0.0,1.965282236205052
3969639,21.87,33.796512096774194,27.0,23.525502289979304,0.0,1.9615452472829225
4056784,22.5,34.795100806451615,28.0,23.29194271892232,0.0,1.8918076782268904
4143973,23.06,33.552271505376346,27.0,23.56816005180209,0.0,1.941733791298127
4187573,23.25,34.24866935483871,28.0,23.58863272128105,0.0,1.9968682707177137
4274754,23.81,34.49046370967742,28.0,23.1370354423199,0.0,1.993359926003006
4449128,24.81,33.920127688172045,27.0,23.193235091637256,0.0,2.041169348335067
5669919,29.94,33.94532930107527,28.0,22.878580607870063,0.0,1.897405905126316
7675954,34.06,33.43983870967742,27.0,23.59252482023364,0.0,2.018400415510464
