 time (ms), temperature (°C),brightness,brightness_median,contrast_rms,edge_density,sharpness
46348,32.94,34.97293682795699,29.0,23.07360563486602,0.0,1.935248635996575
90047,33.06,34.86010752688172,29.0,23.05802521618359,0.0,2.0026611383902764
133689,33.06,35.04760080645161,29.0,23.357070468782155,0.0,1.9423184796923776
220974,33.13,35.18174059139785,28.0,23.562324724710574,0.0,2.110201606399583
264619,33.13,34.706310483870965,28.0,23.259384519851544,0.0,1.8900403160770023
308303,33.0,35.11711021505376,28.0,23.62509134609872,0.0,2.116801053409353
351953,32.5,35.409946236559136,29.0,23.76875225728261,0.0,2.0222782246773465
395604,31.37,35.13997983870968,28.0,23.897462602058777,0.0,1.9760884883729328
439255,29.75,34.58451612903226,28.0,24.01784886315135,0.0,1.9938036837712456
482918,27.87,35.18763440860215,29.0,24.04248637008224,0.0,2.0221572341726644
526562,25.94,35.73957661290323,29.0,23.929305509904268,0.0,2.034764735762444
570205,23.94,34.997600806451615,28.0,23.87651534113109,0.0,2.0513507066839374
613855,22.13,35.79356182795699,30.0,23.92530219023423,0.0,1.9741395508151236
657507,20.37,35.28522177419355,29.0,23.996801688588864,0.0,2.057479838664513
701171,18.75,35.51720430107527,29.0,23.839041625554657,0.0,1.964159940771693
744828,17.25,34.353131720430106,28.0,24.048505019791783,0.0,2.017540264047866
788477,15.88,35.07717069892473,29.0,23.665799930488173,0.0,1.9766730759607325
832124,14.63,34.466706989247314,28.0,23.248018048606603,0.0,1.9762701612451583
875775,13.44,35.259926075268815,28.0,24.444123499329013,0.0,2.063514779481371
919427,12.5,35.48063172043011,28.0,24.68057850851369,0.0,2.0290186322118164
963083,11.56,35.20381048387097,28.0,24.674768091568478,0.0,1.9283870561264311
1006784,10.69,35.29183467741935,28.0,24.642466525203737,0.0,1.947499988437969
1050430,10.0,35.525282258064514,29.0,24.41481692617436,0.0,1.9674260372857413
1094079,9.38,35.375504032258064,28.0,24.42854701688511,0.0,2.024079225154281
1137729,9.0,35.388172043010755,29.0,24.435358984504077,0.0,1.9492338057506653
1181392,8.63,35.02340053763441,28.0,24.498721510328757,0.0,1.9582728255705135
1225106,8.38,34.89961021505376,28.0,24.48974664442821,0.0,1.9414784071858024
1268759,8.13,34.77206989247312,28.0,24.56900605679381,0.0,1.9825873619331
1312412,7.87,34.71380376344086,28.0,24.63393526104512,0.0,1.9089986457520376
1356066,7.69,34.66217741935484,28.0,24.40435113660329,0.0,1.925383044598726
1399730,7.5,34.53969086021505,28.0,24.44019631960823,0.0,1.973904514566352
1443379,7.44,34.553958333333334,28.0,24.495565317393552,0.0,1.8841532111732568
1487038,7.37,34.627809139784944,28.0,24.38927736337546,0.0,1.9692203260492545
1530689,7.25,34.84315860215054,28.0,24.21747730932216,0.0,1.9244354533399808
1574340,7.19,34.17054435483871,27.0,24.4461863870491,0.0,1.9917808380575064
1617992,7.19,34.20989919354839,27.0,24.491033472566123,0.0,1.9035684016486736
1661652,7.19,34.19359543010753,27.0,24.45715423186577,0.0,1.9566928084171575
1705306,7.12,34.609879032258064,28.0,24.1755449224458,0.0,1.9688303264828304
1748959,7.06,34.18073252688172,28.0,24.412810150890135,0.0,1.891498632022127
1792614,7.0,33.51182795698925,27.0,23.949553442589146,0.0,1.761478493901029
1836268,7.0,34.508709677419354,28.0,24.16674722533728,0.0,1.873077935129783
1879940,6.94,34.54662634408602,28.0,24.350249566298626,0.0,1.9018615515070385
1923652,6.94,34.07752688172043,27.0,24.38637047310296,0.0,1.9691933395479249
1967303,6.94,34.53709005376344,28.0,24.110070635490512,0.0,1.9480779568085904
2010953,6.87,34.34981182795699,28.0,24.286672414183023,0.0,1.8464381366342932
2054606,6.94,34.866236559139786,28.0,24.342579841984595,0.0,1.9302284881200131
2098277,6.94,34.010168010752686,28.0,24.14726041583293,0.0,1.896155892119031
2141928,6.94,32.79778897849462,26.0,24.17896239010106,0.0,2.002459612202278
2185632,6.87,34.36230510752688,28.0,24.102225275581223,0.0,1.913528225761288
2229285,6.81,34.456122311827954,28.0,23.904402674436334,0.0,1.8604770887078708
2272940,6.87,34.16728494623656,28.0,24.3462086568282,0.0,1.8596034942171784
2316601,6.81,33.91534274193548,28.0,24.28820438252181,0.0,1.9328022512989225
2360255,6.87,34.128965053763444,28.0,24.06662587314918,0.0,1.9449461959113767
2403907,6.81,33.89593413978495,27.0,24.39426183245768,0.0,1.8911357327707683
2447562,6.87,33.6614247311828,27.0,24.042049377969462,0.0,1.8934610160405103
2491220,6.87,34.18199596774193,28.0,24.263800857195022,0.0,1.9169818873117557
2534874,6.87,34.07542338709678,28.0,24.056197439275604,0.0,1.9156854831483408
2578550,6.87,34.40689516129032,28.0,24.34768929410196,0.0,1.8682795670019656
2622207,6.87,34.458091397849465,28.0,24.23103246932084,0.0,1.9322244612364865
2665866,6.87,34.528877688172045,28.0,24.11289781030701,0.0,1.8247983408486528
2709521,6.81,34.02266801075269,28.0,23.97514373419411,0.0,1.939092680105721
2753179,6.81,33.759522849462364,27.0,24.10632251064813,0.0,1.844307740372804
2796853,6.81,33.6816061827957,27.0,24.046771805132888,0.0,2.037728490107237
2884212,6.81,33.014388440860216,27.0,23.386074542105145,0.0,1.86210340316619
2927866,6.81,33.5883064516129,28.0,23.190790263504876,0.0,1.886296951553286
2971517,6.81,32.78614919354839,27.0,23.395260188426903,0.0,1.90876342622702
3015172,6.81,33.09447580645161,27.0,23.45594157755636,0.0,1.83640454166486
3058830,6.81,33.47690188172043,27.0,23.36803927349671,0.0,1.8896235906969012
3102545,6.87,33.630456989247314,27.0,23.50488218116187,0.0,1.8532929961194933
